short_name	long_name	Columnar	Pustular	Smooth
PWY3DJ-12	ceramide biosynthesis (PWY3DJ-12)	0	0	1
PWY66-398	TCA cycle VII (mammalian) (PWY66-398)	0	619	186
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I (ETOH-ACETYLCOA-ANA-PWY)	17	156	65
PWY-2722	trehalose degradation IV (PWY-2722)	0	50	24
PWY-5743	3-hydroxypropionate cycle (PWY-5743)	20	397	171
P321-PWY	benzoyl-CoA degradation III (anaerobic) (P321-PWY)	0	17	6
PWY-5913	TCA cycle VI (obligate autotrophs) (PWY-5913)	94	1063	388
PWY-6787	flavonoid biosynthesis (in equisetum) (PWY-6787)	0	20	3
PWY-6363	D-myo-inositol (1,4,5)- (PWY-6363)	0	50	11
P562-PWY	myo-inositol degradation (P562-PWY)	0	35	13
PWY-4702	phytate degradation I (PWY-4702)	7	70	26
GALACTUROCAT-PWY	D-galacturonate degradation I (GALACTUROCAT-PWY)	3	48	25
PWY-6755	S-methyl-5-thio-alpha (PWY-6755)	0	32	19
PWY-5458	methylglyoxal degradation V (PWY-5458)	11	116	37
PWY-6543	4-aminobenzoate biosynthesis (PWY-6543)	9	62	38
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphat (GLUCOSE1PMETAB-PWY)	26	154	51
PWY-5988	wound-induced proteolysis I (PWY-5988)	21	115	43
PWY-6126	adenosine nucleotides de no (PWY-6126)	81	891	347
LACTOSECAT-PWY	lactose and galactose degradation I (LACTOSECAT-PWY)	0	8	5
HOMOSERSYN-PWY	homoserine biosynthesis (HOMOSERSYN-PWY)	29	184	66
PWY-5098	chlorophyll a degradation I (PWY-5098)	0	2	0
REDCITCYC	TCA cycle III (helicobacter) (REDCITCYC)	101	638	218
GLUTDEG-PWY	glutamate degradation II (GLUTDEG-PWY)	0	112	65
CALVIN-PWY	Calvin-Benson-Bassham cycle (CALVIN-PWY)	60	526	185
PHENYLALANINE-DEG1-PWY	phenylalanine degradation I (aerobic) (PHENYLALANINE-DEG1-PWY)	5	29	7
PWY-5690	TCA cycle II (plants and fungi) (PWY-5690)	48	0	0
PWY-5783	octaprenyl diphosphate biosynthesis (PWY-5783)	2	13	7
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA (PYRUVDEHYD-PWY)	30	375	122
PWY-6831	pyrrolnitrin biosynthesis (PWY-6831)	0	0	2
PWY0-1301	melibiose degradation (PWY0-1301)	0	27	22
PWY-6754	S-methyl-5'-thioadenosi (PWY-6754)	0	6	4
PWY-2781	cis-zeatin biosynthesis (PWY-2781)	4	27	19
N2FIX-PWY	nitrogen fixation (N2FIX-PWY)	6	93	46
PWY66-380	estrogen biosynthesis (PWY66-380)	8	26	4
PWY-6139	CMP-N-acetylneuraminate (PWY-6139)	8	38	16
PWY-6672	cis-genanyl-CoA degradation (PWY-6672)	0	137	35
PWY-6693	galactose degradation IV (PWY-6693)	3	36	17
P164-PWY	purine nucleobases degradation (P164-PWY)	56	333	129
LIPAS-PWY	triacylglycerol degradation (LIPAS-PWY)	3	30	11
PWY-5123	trans, trans-farnesyl d (PWY-5123)	4	63	29
PWY-1361	benzoyl-CoA degradation I (aerobic) (PWY-1361)	0	97	35
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from  (GLYCOGENSYNTH-PWY)	23	172	89
PWY-6760	xylose degradation III (PWY-6760)	0	24	0
PWY-6908	thiamin diphosphate biosynthes (PWY-6908)	12	71	31
PWY0-1295	pyrimidine ribonucleosides degradation (PWY0-1295)	8	20	9
PWY0-1545	cardiolipin biosynthesis III (PWY0-1545)	16	57	20
PWY-6562	norspermidine biosynthesis (PWY-6562)	33	147	56
PWY-6984	lipoate salvage II (PWY-6984)	2	6	5
PWY-6397	mycolyl-arabinogalactan-peptid (PWY-6397)	18	164	65
PWY-6121	5-aminoimidazole ribonucleotid (PWY-6121)	42	297	133
PWY-6286	spheroidene and spheroidenone  (PWY-6286)	1	3	0
PWY-7049	eicosapentaenoate biosynthesis (PWY-7049)	27	207	76
PWY3O-4108	tyrosine degradation III (PWY3O-4108)	12	123	0
PWY-5971	palmitate biosynthesis II (bac (PWY-5971)	39	445	166
PWY-4861	UDP-D-galacturonate biosynthes (PWY-4861)	2	16	6
P241-PWY	coenzyme B biosynthesis (P241-PWY)	3	0	0
PWY-5078	isoleucine degradation II (PWY-5078)	21	200	61
PWY-1881	formate oxidation to CO2 (PWY-1881)	29	136	36
PWY-1722	formaldehyde oxidation V (tetr (PWY-1722)	14	92	44
PWY-6825	phosphatidylcholine biosynthesis V (PWY-6825)	0	6	2
DAPLYSINESYN-PWY	lysine biosynthesis I (DAPLYSINESYN-PWY)	46	305	113
PWY-6816	agarose degradation (PWY-6816)	0	1	1
AEROBACTINSYN-PWY	aerobactin biosynthesis (AEROBACTINSYN-PWY)	6	0	0
PWY-801	homocysteine and cysteine inte (PWY-801)	11	81	30
PWY0-1280	ethylene glycol degradation (PWY0-1280)	0	0	3
TREHALOSESYN-PWY	trehalose biosynthesis III (TREHALOSESYN-PWY)	0	14	0
PWY-5188	tetrapyrrole biosynthesis I (f (PWY-5188)	32	249	100
PWY-6262	demethylmenaquinol-8 biosynthesis II (PWY-6262)	0	2	0
PWY-5886	4-hydroxyphenylpyruvate biosynthesis (PWY-5886)	0	2	0
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosacchar (MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS)	3	73	43
ASPARAGINE-BIOSYNTHESIS	asparagine biosynthesis I (ASPARAGINE-BIOSYNTHESIS)	25	146	56
PWY-5873	ubiquinol-7 biosynthesis (eukaryotic) (PWY-5873)	0	24	11
PWY66-378	androgen biosynthesis (PWY66-378)	2	15	2
PWY0-1546	muropeptide degradation (PWY0-1546)	4	4	2
PWY-5162	2-oxopentenoate degradation (PWY-5162)	5	44	20
PWY0-522	lipoate salvage I (PWY0-522)	2	6	5
PWY-6461	peptidoglycan cross-bridge bio (PWY-6461)	2	6	3
PWY-6857	retinol biosynthesis (PWY-6857)	10	56	23
PWY3DJ-11470	sphingosine and sphingosine-1- (PWY3DJ-11470)	3	6	1
PWY0-1335	NADH to cytochrome bo o (PWY0-1335)	56	689	257
PWY-5837	1,4-dihydroxy-2-naphthoate bio (PWY-5837)	35	80	24
PWY-6002	lotaustralin degradation (PWY-6002)	9	72	57
PWY-6936	seleno-amino acid biosynthesis (PWY-6936)	30	230	77
PWY0-1324	N-acetylneuraminate and (PWY0-1324)	3	8	3
TYRSYN	tyrosine biosynthesis I (TYRSYN)	46	68	30
P641-PWY	phenylmercury acetate degradation (P641-PWY)	8	73	20
THIOREDOX-PWY	thioredoxin pathway (THIOREDOX-PWY)	10	91	34
PWY-702	methionine biosynthesis II (PWY-702)	18	129	45
PWY-5630	penicillin K biosynthesis (PWY-5630)	0	1	1
GALACTARDEG-PWY	D-galactarate degradation I (GALACTARDEG-PWY)	0	33	14
PWY-6803	phosphatidylcholine acyl editing (PWY-6803)	28	222	78
TOLUENE-DEG-4-OH-PWY	toluene degradation to protoca (TOLUENE-DEG-4-OH-PWY)	0	9	1
PWY66-367	ketogenesis (PWY66-367)	0	152	63
PWY-6184	methylsalicylate degradation (PWY-6184)	1	2	1
IDNCAT-PWY	L-idonate degradation (IDNCAT-PWY)	3	32	13
PWY66-368	ketolysis (PWY66-368)	0	123	41
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephos (NADPHOS-DEPHOS-PWY)	16	107	33
PWY-6961	L-ascorbate degradation II (ba (PWY-6961)	0	0	4
PWY-6210	2-aminophenol degradation (PWY-6210)	0	4	0
PWY-6617	adenosine nucleotides degradation III (PWY-6617)	1	11	1
PWY-7158	phenylalanine degradation V (PWY-7158)	6	31	8
PWYQT-4429	CO2 fixation into o (PWYQT-4429)	12	80	33
THREONINE-DEG2-PWY	threonine degradation II (THREONINE-DEG2-PWY)	6	33	18
PWY-6946	cholesterol degradation to and (PWY-6946)	49	364	132
PWY-7072	hopanoid biosynthesis (bacteria) (PWY-7072)	2	21	9
PWY-4983	citrulline-nitric oxide cycle (PWY-4983)	9	116	56
PWY-7092	neolinustatin bioactivation (PWY-7092)	9	72	57
PWY-6322	phosphinothricin tripeptide biosynthesis (PWY-6322)	0	6	1
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I (BSUBPOLYAMSYN-PWY)	8	47	12
ARG-GLU-PWY	arginine degradation VII (argi (ARG-GLU-PWY)	4	52	10
PWY-6054	dimethylsulfoniopropionate bio (PWY-6054)	7	69	16
PWY0-1535	D-serine degradation (PWY0-1535)	2	4	1
PWY-6614	tetrahydrofolate biosynthesis (PWY-6614)	8	69	16
PWY-6891	thiazole biosynthesis II (Bacillus) (PWY-6891)	27	195	81
SUCUTIL-PWY	sucrose degradation I (SUCUTIL-PWY)	0	25	0
PWY0-1315	L-lactaldehyde degradation (anaerobic) (PWY0-1315)	0	0	4
PWY1-3	polyhydroxybutyrate biosynthesis (PWY1-3)	0	117	41
PWY-5152	leucodelphinidin biosynthesis (PWY-5152)	3	12	4
PWY-6406	salicylate biosynthesis I (PWY-6406)	0	15	2
PWY3DJ-35471	L-ascorbate biosynthesis IV (PWY3DJ-35471)	27	129	63
PWY-6607	guanosine nucleotides degradation I (PWY-6607)	15	107	47
PWY-5288	astaxanthin biosynthesis (PWY-5288)	3	3	1
PWY-5142	acyl-ACP thioesterase pathway (PWY-5142)	0	0	1
PWY-5198	factor 420 biosynthesis (PWY-5198)	1	24	3
PWY-6138	CMP-N-acetylneuraminate (PWY-6138)	8	30	8
PWY-5939	(R)-acetoin biosynthesis II (PWY-5939)	23	0	0
PWY-5870	ubiquinol-8 biosynthesis (eukaryotic) (PWY-5870)	7	80	23
PWY-5278	sulfite oxidation III (PWY-5278)	0	128	63
PWY-6556	pyrimidine ribonucleosides salvage II (PWY-6556)	0	17	5
PWY-5028	histidine degradation II (PWY-5028)	13	107	41
PWY-6077	anthranilate degradation II (aerobic) (PWY-6077)	0	27	1
GLYCEROLMETAB-PWY	glycerol degradation V (GLYCEROLMETAB-PWY)	1	4	2
PWY-2301	myo-inositol biosynthesis (PWY-2301)	1	74	22
METH-ACETATE-PWY	methanogenesis from acetate (METH-ACETATE-PWY)	11	79	38
TYRFUMCAT-PWY	tyrosine degradation I (TYRFUMCAT-PWY)	13	62	25
PWY-6637	sulfolactate degradation II (PWY-6637)	0	35	10
P185-PWY	formaldehyde assimilation III  (P185-PWY)	0	595	0
PWY-6969	TCA cycle V (2-oxoglutarate:fe (PWY-6969)	130	932	319
GLUTAMINDEG-PWY	glutamine degradation I (GLUTAMINDEG-PWY)	90	627	268
PWY-5497	purine nucleobases degradation (PWY-5497)	67	495	199
PWY-7184	pyrimidine deoxyribonucleotide (PWY-7184)	39	385	127
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I (GLYCOLATEMET-PWY)	9	0	44
PWY-6756	S-methyl-5'-thioadenosi (PWY-6756)	1	14	11
PWY-5951	(R,R)-butanediol biosynthesis (PWY-5951)	0	4	1
SERDEG-PWY	L-serine degradation (SERDEG-PWY)	0	17	5
ASPARTATESYN-PWY	aspartate biosynthesis (ASPARTATESYN-PWY)	18	0	0
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxi (OXIDATIVEPENT-PWY)	6	71	22
PWY-5963	thio-molybdenum cofactor biosynthesis (PWY-5963)	0	2	0
PWY-5807	heptaprenyl diphosphate biosynthesis (PWY-5807)	0	4	1
RIBOKIN-PWY	ribose degradation (RIBOKIN-PWY)	6	0	10
PWY-5872	ubiquinol-10 biosynthesis (eukaryotic) (PWY-5872)	0	24	11
PWY-6174	mevalonate pathway II (archaea) (PWY-6174)	0	168	0
PWY-5526	bacteriochlorophyll a b (PWY-5526)	0	1	1
PWY-5418	phenol degradation I (aerobic) (PWY-5418)	0	1	6
PWY-6650	juvenile hormone III biosynthesis II (PWY-6650)	14	117	44
PWY-6530	perchlorate reduction (PWY-6530)	0	3	0
PWY-6421	arsenate detoxification III (mycothiol) (PWY-6421)	3	10	8
PWY-6788	cellulose degradation II (fungi) (PWY-6788)	17	125	83
PWY-63	UDP-L-arabinose biosynthesis I (PWY-63)	0	5	3
PWY-6910	hydroxymethylpyrimidine salvage (PWY-6910)	1	16	6
PWY-6129	dolichol and dolichyl phosphat (PWY-6129)	0	0	2
PWY-6497	D-galactarate degradation II (PWY-6497)	0	16	0
PWY-3781	aerobic respiration (cytochrome c) (PWY-3781)	120	1050	340
PWY-1341	phenylacetate degradation II (anaerobic) (PWY-1341)	0	57	0
PWY-5133	cohumulone biosynthesis (PWY-5133)	0	3	3
PWY-2721	trehalose degradation III (PWY-2721)	0	33	15
PWY-5710	capsaicin biosynthesis (PWY-5710)	0	30	9
PCPDEG-PWY	pentachlorophenol degradation (PCPDEG-PWY)	1	3	0
PWY-7183	pyrimidine nucleobases salvage I (PWY-7183)	7	32	14
TCA	TCA cycle I (prokaryotic) (TCA)	53	701	217
PWY-5670	epoxysqualene biosynthesis (PWY-5670)	2	13	3
PWY-922	mevalonate pathway I (PWY-922)	138	174	64
AST-PWY	arginine degradation II (AST pathway) (AST-PWY)	11	72	23
P42-PWY	incomplete reductive TCA cycle (P42-PWY)	97	622	244
PWY-0	putrescine degradation III (PWY-0)	12	99	31
PWY-6183	salicylate degradation I (PWY-6183)	1	2	1
PWY-6583	pyruvate fermentation to butanol I (PWY-6583)	211	802	252
PWY-6643	coenzyme M biosynthesis II (PWY-6643)	18	112	63
PWY-6902	chitin degradation II (PWY-6902)	19	34	26
PWY-5301	ajmaline and sarpagine biosynthesis (PWY-5301)	0	4	0
PWY-7210	pyrimidine deoxyribonucleotide (PWY-7210)	37	343	109
PWY-5844	menaquinol-9 biosynthesis (PWY-5844)	9	37	3
PWY-6012	acyl carrier protein metabolism (PWY-6012)	6	24	8
PWY0-1021	alanine biosynthesis III (PWY0-1021)	18	143	60
NONOXIPENT-PWY	pentose phosphate pathway (non (NONOXIPENT-PWY)	33	276	120
PWY-5482	pyruvate fermentation to acetate II (PWY-5482)	0	57	27
PWY-6303	methyl indole-3-acetate interconversion (PWY-6303)	1	23	11
PWY-6436	perillyl alcohol biosynthesis (PWY-6436)	1	24	13
PWY-5917	phycocyanobilin biosynthesis (PWY-5917)	3	6	1
PWY-2201	folate transformations I (PWY-2201)	49	395	195
RIBOSYN2-PWY	flavin biosynthesis I (bacteri (RIBOSYN2-PWY)	36	161	70
PWY-4121	glutathionylspermidine biosynthesis (PWY-4121)	0	2	1
PWY-6507	5-dehydro-4-deoxy-D-glucuronat (PWY-6507)	0	48	14
PWY-6348	phosphate acquisition (PWY-6348)	7	24	9
PWY-6899	base-degraded thiamin salvage (PWY-6899)	0	6	4
PWY-5785	di-trans,poly-cis (PWY-5785)	5	52	21
PWY-4181	glutathione amide metabolism (PWY-4181)	1	5	3
GDPRHAMSYN-PWY	GDP-D-rhamnose biosynthesis (GDPRHAMSYN-PWY)	0	45	25
PWY-5340	sulfate activation for sulfonation (PWY-5340)	16	138	72
PWY1F-FLAVSYN	flavonoid biosynthesis (PWY1F-FLAVSYN)	7	54	13
PWY-6405	Rapoport-Luebering glycolytic shunt (PWY-6405)	1	8	6
ASPARAGINESYN-PWY	asparagine biosynthesis II (ASPARAGINESYN-PWY)	27	151	58
PWY-6793	demethylmenaquinol-8 biosynthesis III (PWY-6793)	0	2	0
ECASYN-PWY	enterobacterial common antigen (ECASYN-PWY)	35	207	91
PWY0-1296	purine ribonucleosides degradation (PWY0-1296)	16	37	21
PHESYN	phenylalanine biosynthesis I (PHESYN)	46	71	0
P283-PWY	hydrogen oxidation I (aerobic) (P283-PWY)	3	68	23
PWY-5352	thiosulfate disproportionation (PWY-5352)	0	7	4
SPHINGOLIPID-SYN-PWY	sphingolipid biosynthesis (yeast) (SPHINGOLIPID-SYN-PWY)	0	0	1
PWY-6686	mannosylglucosylglycerate biosynthesis I (PWY-6686)	0	5	1
PWY-6398	melatonin degradation I (PWY-6398)	6	18	7
PWY-6143	CMP-pseudaminate biosynthesis (PWY-6143)	0	3	2
PWY-5535	acetate formation from acetyl-CoA II (PWY-5535)	1	78	22
GLUTATHIONESYN-PWY	glutathione biosynthesis (GLUTATHIONESYN-PWY)	10	100	26
PWY-6896	thiamin salvage I (PWY-6896)	5	20	15
GLUTSYNIII-PWY	glutamate biosynthesis III (GLUTSYNIII-PWY)	17	218	97
PWY-6279	myxol-2' fucoside biosynthesis (PWY-6279)	1	1	0
PWY-5723	Rubisco shunt (PWY-5723)	63	552	236
